id,total_price,vat_price,valid_amount
24PC5D5oeL6fb8a5n,500,45,1
24PC5D5oeL6fb8a5n,455,45,0
24PC5D5oeL6fb8a5n,455,45,0
24PC5D5oeL6fb8a5n,500,45,0
25KA7rWWmhStXDEsb,36600,6100,1
25KA7rWWmhStXDEsb,26000,3600,0
25KA7rWWmhStXDEsb,26000,4800,0
25KA7rWWmhStXDEsb,26000,6800,0
25KA7rWWmhStXDEsb,26000,4500,0
25KA7rWWmhStXDEsb,30500,3600,0
25KA7rWWmhStXDEsb,30500,4800,0
25KA7rWWmhStXDEsb,30500,6800,0
25KA7rWWmhStXDEsb,30500,4500,0
25KA7rWWmhStXDEsb,36600,10800,0
25KA7rWWmhStXDEsb,36600,3600,0
25KA7rWWmhStXDEsb,36600,4800,0
25KA7rWWmhStXDEsb,36600,6800,0
25KA7rWWmhStXDEsb,36600,4500,0
25KA7rWWmhStXDEsb,36600,10800,0
25KA7rWWmhStXDEsb,36600,3600,0
25KA7rWWmhStXDEsb,36600,4800,0
25KA7rWWmhStXDEsb,36600,6800,0
25KA7rWWmhStXDEsb,36600,4500,0
25KA7rWWmhStXDEsb,36600,10800,0
25KA7rWWmhStXDEsb,36600,3600,0
25KA7rWWmhStXDEsb,36600,4800,0
25KA7rWWmhStXDEsb,36600,6800,0
25KA7rWWmhStXDEsb,36600,4500,0
26joYiARG5L5SmfxM,48000,8000,1
26joYiARG5L5SmfxM,1430200,40000,0
28RetYi6SMMvTApqi,1490,248,1
296mm2mqrPTJMsB4J,203,18,1
296mm2mqrPTJMsB4J,203,59,0
296mm2mqrPTJMsB4J,599,75,0
296mm2mqrPTJMsB4J,599,69,0
296mm2mqrPTJMsB4J,599,59,0
296mm2mqrPTJMsB4J,203,59,0
29pwjsKx88nhnQKm9,2940,490,1
29pwjsKx88nhnQKm9,2450,600,0
29pwjsKx88nhnQKm9,2450,400,0
29pwjsKx88nhnQKm9,2450,400,0
29pwjsKx88nhnQKm9,2940,850,0
29pwjsKx88nhnQKm9,2940,850,0
29pwjsKx88nhnQKm9,2940,600,0
29pwjsKx88nhnQKm9,2940,400,0
